Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Iraq,IRQ,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,,,,,,,,,0.78,0.78,0.78,,0.43,0.43,0.52,0.61,0.61
Iceland,ISL,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,1.05,1.11,1.16,1.40,1.64,1.75,1.86,1.51,1.15,1.43,1.71,1.85,1.99,1.92,1.85,1.77,1.69,1.69
Israel,ISR,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,1.14,1.02,0.9,0.975,1.05,1.26,1.47,1.42,1.37,1.61,1.85,1.93,2.01,1.95,1.88,1.73,1.57,1.57
Italy,ITA,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.97,1.01,1.05,1.29,1.53,1.55,1.56,1.57,1.57,1.72,1.87,2.08,2.28,2.21,2.14,1.88,1.61,1.61
Jamaica,JAM,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.62,0.57,0.52,0.58,0.63,0.73,0.82,0.78,0.74,0.86,0.98,1.09,1.2,1.17,1.14,1.13,1.11,1.11
Jordan,JOR,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.45,0.49,0.52,0.57,0.61,0.74,0.86,0.74,0.61,0.83,1.04,1.24,1.44,1.36,1.27,1.185,1.1,1.1
Japan,JPN,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,1.06,0.99,0.91,1.09,1.26,1.18,1.09,1.26,1.42,1.51,1.6,1.8,2,1.69,1.38,1.22,1.06,1.06
Kazakhstan,KAZ,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.36,0.36,0.35,0.44,0.52,0.61,0.7,0.765,0.83,0.77,0.71,0.86,1.01,0.91,0.81,0.62,0.42,0.42
Kenya,KEN,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.71,0.705,0.7,0.81,0.92,1.02,1.12,1.16,1.2,1.265,1.33,1.35,1.37,1.29,1.21,1.08,0.95,0.95
Kyrgyz Republic,KGZ,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.44,0.42,0.39,0.44,0.48,0.56,0.64,0.72,0.8,0.825,0.85,0.87,0.89,0.92,0.94,0.75,0.56,0.56
Cambodia,KHM,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.61,0.62,0.63,0.71,0.79,0.90,1.01,0.98,0.94,1.05,1.15,1.25,1.35,1.35,1.34,1.12,0.9,0.9
"Korea, Rep.",KOR,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.92,1.01,1.09,1.22,1.35,1.50,1.65,1.58,1.51,1.52,1.52,1.66,1.8,1.675,1.55,1.39,1.22,1.22
Kuwait,KWT,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.21,0.205,0.2,0.22,0.24,0.23,0.22,0.23,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.29,0.35,0.35
Latin America & Caribbean (excluding high income),LAC,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.62,0.59,0.55,0.6275,0.705,0.7975,0.89,0.8775,0.865,0.9525,1.04,1.16,1.27,1.23,1.19,1.0675,0.945,0.945
Lao PDR,LAO,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.41,0.39,0.36,0.45,0.54,0.70,0.86,0.89,0.92,1.09,1.26,1.30,1.33,1.365,1.4,1.165,0.93,0.93
Lebanon,LBN,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.53,0.59,0.65,0.68,0.71,0.73,0.74,0.75,0.76,0.95,1.13,1.12,1.11,1.04,0.96,0.85,0.74,0.74
Libya,LBY,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.25,0.175,0.1,0.095,0.09,0.11,0.12,0.13,0.14,0.16,0.17,0.15,0.12,0.12,,0.11,0.11,0.11
Latin America & Caribbean,LCN,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.62,0.5825,0.545,0.625,0.705,0.810,0.915,0.9025,0.89,0.9775,1.065,1.1725,1.28,1.24,1.2,1.06,0.92,0.92
Least developed countries: UN classification,LDC,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.64,0.6225,0.605,0.7025,0.8,0.905,1.01,1.07,1.13,1.16,1.18,1.26,1.34,1.34,1.34,1.16,0.97,0.97
Low income,LIC,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.68,0.63,0.57,0.73,0.88,0.9875,1.095,1.135,1.175,1.2275,1.28,1.3275,1.375,1.3725,1.37,1.16,0.95,0.95
Liechtenstein,LIE,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.81,0.85,0.89,1.09,1.29,1.28,1.27,1.285,1.3,1.48,1.66,1.77,1.88,1.81,1.74,1.74,,0
Sri Lanka,LKA,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.66,0.60,0.54,0.63,0.72,0.80,0.88,1.16,1.43,1.31,1.19,1.24,1.29,1.28,1.27,1.08,0.88,0.88
Lower middle income,LMC,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.53,0.53,0.52,0.61,0.69,0.78,0.86,0.90,0.94,1.01,1.08,1.17,1.25,1.2075,1.165,1.0375,0.91,0.91
Low & middle income,LMY,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.55,0.55,0.54,0.64,0.74,0.82,0.89,0.96,1.03,1.07,1.11,1.20,1.29,1.2575,1.225,1.0725,0.92,0.92
